TransactionID,Items
1,"""Azucar"""
2,"""Huevos, Panales, Mantequilla, Yogur, Cebolla, Papas fritas, Cerveza, Leche, Refresco"""
3,"""Azucar, Manzanas, Huevos, Queso, Papas fritas, Cerveza, Leche, Chocolate, Salsa de Tomate"""
4,"""Manzanas, Azucar, Panales, Mantequilla, Platanos, Papas fritas, Pasta, Salsa de Tomate, Cafe"""
5,"""Yogur"""
6,"""Azucar, Mantequilla, Cebolla, Papas fritas, Salsa de Tomate, Pan"""
7,"""Azucar, Huevos, Queso, Cebolla, Yogur, Detergente, Chocolate, Salsa de Tomate, Cafe"""
8,"""Pasta"""
9,"""Manzanas, Papel Higienico, Chocolate"""
10,"""Panales, Leche"""
11,"""Mantequilla, Yogur, Cebolla, Leche, Refresco, Pasta, Salsa de Tomate"""
12,"""Azucar, Yogur"""
13,"""Huevos, Mantequilla, Yogur, Detergente, Papas fritas, Chocolate, Refresco, Pan"""
14,"""Manzanas, Huevos, Azucar, Yogur, Platanos, Leche, Chocolate, Refresco"""
15,"""Detergente, Mantequilla, Salsa de Tomate, Refresco"""
16,"""Azucar, Huevos, Panales, Cebolla, Cerveza, Refresco, Salsa de Tomate, Pan"""
17,"""Panales, Papel Higienico, Mantequilla, Cebolla, Detergente, Leche, Chocolate, Refresco, Pasta, Salsa de Tomate"""
18,"""Azucar, Mantequilla, Papas fritas, Cerveza, Leche, Salsa de Tomate"""
19,"""Platanos, Papas fritas"""
20,"""Huevos, Mantequilla, Yogur, Platanos, Cerveza, Refresco, Salsa de Tomate, Pan"""
21,"""Azucar, Papel Higienico, Cebolla, Papas fritas, Cerveza, Leche, Cafe"""
22,"""Papas fritas, Salsa de Tomate, Cerveza"""
23,"""Panales, Mantequilla, Platanos, Leche, Chocolate, Refresco, Salsa de Tomate, Pan"""
24,"""Leche, Cafe"""
25,"""Manzanas, Queso, Detergente, Papas fritas, Cerveza, Chocolate"""
26,"""Manzanas, Huevos, Azucar, Refresco, Pasta, Salsa de Tomate, Cafe"""
27,"""Papel Higienico, Yogur, Detergente, Papas fritas, Chocolate"""
28,"""Papas fritas, Salsa de Tomate, Queso, Chocolate"""
29,"""Panales, Papel Higienico, Cebolla, Papas fritas, Cerveza, Refresco"""
30,"""Azucar, Huevos, Papel Higienico, Yogur, Platanos, Papas fritas, Cerveza, Leche"""
31,"""Azucar, Panales, Yogur, Platanos, Papas fritas, Cerveza, Refresco, Salsa de Tomate, Pan"""
32,"""Mantequilla, Queso, Cebolla, Detergente, Platanos, Chocolate, Pasta, Salsa de Tomate"""
33,"""Panales, Papas fritas, Cerveza, Leche, Cafe"""
34,"""Azucar, Queso, Detergente, Refresco, Pasta, Cafe"""
35,"""Refresco, Pasta, Salsa de Tomate"""
36,"""Azucar, Queso, Cebolla, Detergente, Salsa de Tomate, Cafe"""
37,"""Azucar, Panales, Papel Higienico, Mantequilla, Yogur, Cerveza, Leche, Pasta, Salsa de Tomate, Pan"""
38,"""Azucar, Mantequilla, Yogur, Chocolate, Salsa de Tomate, Cafe, Pan"""
39,"""Manzanas, Panales, Mantequilla, Chocolate, Refresco, Pasta, Salsa de Tomate, Pan"""
40,"""Platanos, Papas fritas, Cerveza, Pasta, Salsa de Tomate"""
41,"""Azucar, Huevos, Manzanas, Leche, Chocolate, Refresco"""
42,"""Papel Higienico, Yogur, Detergente, Chocolate, Salsa de Tomate"""
43,"""Azucar, Huevos, Platanos, Cafe"""
44,"""Detergente, Papel Higienico"""
45,"""Huevos, Panales, Mantequilla, Cebolla, Detergente, Papas fritas, Cerveza, Pan"""
46,"""Panales, Papel Higienico, Papas fritas, Cerveza, Pasta, Salsa de Tomate"""
47,"""Papel Higienico, Queso, Yogur, Papas fritas, Cerveza, Chocolate, Pan"""
48,"""Azucar, Mantequilla, Cebolla, Chocolate, Refresco, Pasta, Salsa de Tomate, Cafe, Pan"""
49,"""Manzanas, Huevos, Panales, Papel Higienico, Detergente, Papas fritas, Cerveza, Pan"""
50,"""Azucar, Huevos, Mantequilla, Queso, Cerveza, Salsa de Tomate, Cafe"""
51,"""Manzanas, Huevos, Papel Higienico, Papas fritas, Salsa de Tomate"""
52,"""Refresco, Platanos, Salsa de Tomate, Cebolla"""
53,"""Pasta, Salsa de Tomate, Cebolla"""
54,"""Mantequilla, Detergente, Platanos, Papas fritas, Cerveza, Pan"""
55,"""Mantequilla, Salsa de Tomate, Pasta"""
56,"""Azucar, Papel Higienico, Mantequilla, Yogur, Cebolla, Papas fritas, Refresco, Salsa de Tomate"""
57,"""Manzanas, Mantequilla, Detergente, Papas fritas, Pan"""
58,"""Azucar, Panales, Mantequilla, Queso, Cebolla"""
59,"""Manzanas, Papel Higienico"""
60,"""Azucar, Mantequilla, Cafe, Pan"""
61,"""Manzanas, Huevos, Queso, Cebolla, Platanos, Papas fritas, Pasta, Salsa de Tomate"""
62,"""Mantequilla, Platanos, Queso"""
63,"""Azucar, Papel Higienico, Mantequilla, Yogur, Platanos, Chocolate, Cafe"""
64,"""Detergente"""
65,"""Manzanas, Huevos, Cerveza, Chocolate, Pan"""
66,"""Chocolate"""
67,"""Yogur, Detergente, Leche, Pasta, Salsa de Tomate"""
68,"""Papas fritas, Queso, Cerveza"""
69,"""Manzanas, Azucar, Papel Higienico, Yogur, Cebolla, Detergente, Papas fritas, Cerveza, Pan"""
70,"""Papel Higienico, Mantequilla, Queso, Platanos, Papas fritas, Cerveza, Leche, Pasta, Salsa de Tomate, Pan"""
71,"""Platanos, Pan"""
72,"""Mantequilla, Cebolla, Detergente, Pasta, Salsa de Tomate"""
73,"""Manzanas, Huevos, Panales, Mantequilla, Platanos, Cerveza, Salsa de Tomate, Cafe, Pan"""
74,"""Azucar, Salsa de Tomate, Cafe, Yogur"""
75,"""Refresco, Huevos, Pasta, Salsa de Tomate"""
76,"""Panales, Mantequilla, Cebolla, Pasta, Salsa de Tomate, Pan"""
77,"""Huevos, Papel Higienico, Cebolla"""
78,"""Refresco, Mantequilla, Yogur, Pan"""
79,"""Azucar, Panales, Yogur, Queso, Papas fritas, Cerveza, Salsa de Tomate, Cafe"""
80,"""Refresco, Panales, Salsa de Tomate, Cerveza"""
81,"""Azucar, Manzanas, Mantequilla, Queso, Refresco, Salsa de Tomate"""
82,"""Manzanas, Huevos, Mantequilla, Queso, Papas fritas, Leche, Chocolate, Salsa de Tomate, Cafe"""
83,"""Azucar"""
84,"""Azucar, Mantequilla, Detergente, Papas fritas, Cerveza, Leche, Chocolate, Pasta, Salsa de Tomate, Cafe"""
85,"""Papel Higienico, Mantequilla, Yogur, Queso, Detergente, Platanos, Leche, Salsa de Tomate, Pan"""
86,"""Cerveza, Panales, Cebolla"""
87,"""Platanos, Papas fritas, Cerveza, Panales"""
88,"""Azucar, Huevos, Papel Higienico, Cebolla, Detergente, Platanos, Refresco"""
89,"""Azucar, Queso, Yogur, Detergente, Papas fritas, Cerveza, Refresco, Pasta, Salsa de Tomate"""
90,"""Azucar, Papel Higienico, Mantequilla, Queso, Yogur, Cebolla, Leche, Pasta, Cafe"""
91,"""Refresco, Papel Higienico, Leche, Chocolate"""
92,"""Azucar, Manzanas, Leche, Chocolate"""
93,"""Manzanas, Platanos, Leche, Chocolate"""
94,"""Detergente, Pasta, Papel Higienico, Salsa de Tomate"""
95,"""Azucar, Panales, Papel Higienico, Mantequilla, Yogur, Cebolla, Leche, Pasta, Salsa de Tomate"""
96,"""Azucar, Cafe"""
97,"""Azucar, Leche, Cafe"""
98,"""Manzanas, Azucar, Panales, Queso, Leche, Chocolate, Refresco, Pasta, Salsa de Tomate"""
99,"""Manzanas, Detergente"""
100,"""Papas fritas, Cerveza, Leche"""
101,"""Refresco, Papas fritas, Leche"""
102,"""Manzanas, Papel Higienico, Cebolla, Detergente, Pan"""
103,"""Mantequilla"""
104,"""Pasta, Salsa de Tomate, Panales, Leche"""
105,"""Panales, Mantequilla, Yogur, Cebolla, Platanos, Papas fritas, Cerveza, Leche, Salsa de Tomate"""
106,"""Mantequilla, Yogur, Cebolla, Platanos, Refresco, Pan"""
107,"""Manzanas, Queso, Papas fritas, Cerveza, Refresco, Pasta"""
108,"""Mantequilla, Cebolla, Detergente, Chocolate, Refresco, Pasta"""
109,"""Manzanas, Azucar, Huevos, Papel Higienico, Yogur, Platanos"""
110,"""Papel Higienico, Yogur, Queso, Platanos, Papas fritas, Cerveza, Leche"""
111,"""Manzanas, Papel Higienico, Mantequilla, Detergente, Chocolate"""
112,"""Azucar, Yogur, Detergente, Leche, Chocolate, Salsa de Tomate"""
113,"""Panales, Papel Higienico, Mantequilla, Yogur, Platanos, Papas fritas, Cerveza, Chocolate"""
114,"""Manzanas"""
115,"""Yogur"""
116,"""Manzanas, Huevos, Papel Higienico, Mantequilla, Yogur, Papas fritas, Cerveza, Refresco, Pan"""
117,"""Manzanas, Mantequilla, Cebolla, Pan"""
118,"""Mantequilla, Papas fritas, Leche, Chocolate, Pan"""
119,"""Platanos, Papas fritas, Cerveza"""
120,"""Mantequilla, Platanos, Cebolla"""
121,"""Salsa de Tomate"""
122,"""Azucar, Huevos, Papel Higienico, Detergente, Papas fritas, Cerveza, Leche, Chocolate, Refresco"""
123,"""Azucar, Papas fritas, Refresco, Pasta, Salsa de Tomate, Cafe, Pan"""
124,"""Platanos"""
125,"""Azucar, Platanos, Queso"""
126,"""Yogur, Cebolla, Leche, Pan"""
127,"""Huevos, Mantequilla, Leche, Pan"""
128,"""Azucar, Panales, Platanos, Cerveza, Chocolate, Pan"""
129,"""Huevos, Platanos, Queso, Chocolate"""
130,"""Huevos, Panales, Mantequilla, Queso, Cebolla, Cerveza, Salsa de Tomate"""
131,"""Manzanas, Panales, Queso, Cebolla, Leche, Chocolate, Salsa de Tomate"""
132,"""Azucar, Huevos, Panales, Platanos, Papas fritas, Cerveza, Leche, Chocolate, Pasta, Salsa de Tomate, Cafe"""
133,"""Panales, Papas fritas, Cerveza"""
134,"""Azucar, Mantequilla, Detergente, Leche, Pasta, Salsa de Tomate"""
135,"""Refresco, Panales, Papas fritas, Cerveza"""
136,"""Azucar, Huevos, Salsa de Tomate, Pan"""
137,"""Huevos, Mantequilla, Queso, Detergente, Papas fritas, Chocolate, Salsa de Tomate"""
138,"""Manzanas, Leche"""
139,"""Huevos, Panales, Detergente, Leche, Chocolate, Refresco"""
140,"""Detergente, Papas fritas"""
141,"""Queso, Cebolla, Papas fritas, Refresco, Salsa de Tomate"""
142,"""Manzanas, Huevos, Panales, Azucar, Platanos, Papas fritas, Cerveza"""
143,"""Queso"""
144,"""Azucar, Pan"""
145,"""Mantequilla, Queso, Pan"""
146,"""Panales, Queso, Yogur, Papas fritas, Salsa de Tomate"""
147,"""Chocolate, Platanos, Papel Higienico, Pan"""
148,"""Huevos, Queso, Cebolla, Leche, Refresco"""
149,"""Azucar, Cebolla, Cafe"""
150,"""Manzanas, Panales, Cebolla, Pasta, Cafe"""
151,"""Huevos, Cebolla, Cerveza, Leche, Chocolate, Refresco"""
152,"""Papel Higienico, Yogur, Cebolla, Platanos, Leche, Chocolate"""
153,"""Yogur"""
154,"""Manzanas, Azucar, Panales, Mantequilla, Papas fritas, Cerveza, Leche, Chocolate, Refresco, Pasta, Salsa de Tomate, Pan"""
155,"""Papas fritas, Panales, Salsa de Tomate, Cerveza"""
156,"""Platanos, Salsa de Tomate, Cerveza, Pasta"""
157,"""Manzanas, Papas fritas, Cerveza"""
158,"""Azucar, Pasta, Cafe"""
159,"""Panales, Cerveza"""
160,"""Azucar, Mantequilla, Yogur, Cebolla, Platanos, Leche, Chocolate, Salsa de Tomate"""
161,"""Refresco, Cebolla"""
162,"""Queso, Detergente, Papas fritas, Cerveza, Leche, Chocolate"""
163,"""Azucar, Manzanas, Mantequilla, Papas fritas, Cerveza, Chocolate"""
164,"""Panales, Mantequilla, Queso, Yogur, Papas fritas, Cerveza, Pasta, Salsa de Tomate, Pan"""
165,"""Manzanas, Azucar, Papel Higienico, Detergente, Leche, Refresco, Salsa de Tomate, Cafe"""
166,"""Azucar, Papel Higienico, Mantequilla, Yogur, Detergente, Papas fritas, Refresco, Pasta"""
167,"""Azucar, Yogur, Leche"""
168,"""Mantequilla, Pan"""
169,"""Pasta, Papas fritas, Salsa de Tomate, Pan"""
170,"""Papas fritas, Cerveza, Cafe"""
171,"""Papel Higienico, Pasta, Queso"""
172,"""Azucar, Huevos, Panales, Papas fritas, Cerveza, Chocolate, Salsa de Tomate, Cafe"""
173,"""Papel Higienico"""
174,"""Azucar, Panales, Papel Higienico, Yogur, Cebolla, Platanos, Pasta, Salsa de Tomate, Cafe"""
175,"""Papas fritas, Platanos, Salsa de Tomate, Cerveza"""
176,"""Refresco, Cafe, Azucar"""
177,"""Huevos, Panales, Mantequilla, Cebolla, Detergente, Platanos, Papas fritas, Cerveza, Cafe"""
178,"""Refresco"""
179,"""Azucar, Queso, Platanos, Papas fritas, Cerveza, Leche, Chocolate, Cafe"""
180,"""Leche"""
181,"""Azucar, Huevos, Panales, Queso, Detergente, Papas fritas, Cerveza"""
182,"""Azucar, Cebolla, Detergente, Papas fritas, Cerveza, Salsa de Tomate"""
183,"""Pasta, Papel Higienico, Cebolla, Salsa de Tomate"""
184,"""Panales, Leche, Chocolate"""
185,"""Chocolate"""
186,"""Panales, Papel Higienico, Mantequilla, Queso, Detergente, Leche, Chocolate, Cafe"""
187,"""Refresco, Panales, Cerveza"""
188,"""Azucar, Yogur, Leche, Cafe"""
189,"""Platanos, Pan"""
190,"""Huevos, Panales, Mantequilla, Pasta, Pan"""
191,"""Azucar, Queso, Cebolla, Platanos, Papas fritas, Cerveza, Refresco, Salsa de Tomate"""
192,"""Salsa de Tomate, Yogur"""
193,"""Papas fritas, Cerveza"""
194,"""Mantequilla, Chocolate"""
195,"""Cafe"""
196,"""Azucar, Cafe"""
197,"""Refresco, Leche, Chocolate"""
198,"""Detergente, Salsa de Tomate, Leche, Chocolate"""
199,"""Pasta, Salsa de Tomate"""
200,"""Mantequilla, Queso, Chocolate, Refresco, Salsa de Tomate"""
201,"""Manzanas, Papel Higienico, Mantequilla, Cebolla, Detergente, Platanos, Cerveza, Pan"""
202,"""Yogur, Cebolla, Detergente, Platanos, Papas fritas, Refresco"""
203,"""Detergente"""
204,"""Azucar, Queso, Cebolla, Papas fritas, Cerveza, Refresco, Pasta, Salsa de Tomate"""
205,"""Manzanas, Huevos, Panales, Papel Higienico, Azucar, Papas fritas, Cerveza, Cafe"""
206,"""Papel Higienico, Mantequilla, Refresco, Salsa de Tomate, Cafe, Pan"""
207,"""Azucar, Huevos, Panales, Papel Higienico, Papas fritas, Cerveza, Chocolate, Refresco"""
208,"""Platanos"""
209,"""Manzanas, Queso, Detergente"""
210,"""Panales, Papel Higienico, Mantequilla, Yogur, Queso, Cerveza, Pasta, Pan"""
211,"""Detergente, Platanos, Pan"""
212,"""Mantequilla, Queso, Detergente, Leche, Chocolate, Cafe, Pan"""
213,"""Refresco, Papas fritas, Pan"""
214,"""Leche, Cafe, Chocolate"""
215,"""Azucar, Huevos, Manzanas, Papel Higienico, Leche, Chocolate, Salsa de Tomate, Cafe, Pan"""
216,"""Chocolate"""
217,"""Azucar, Panales, Mantequilla, Queso, Yogur, Platanos, Papas fritas, Cerveza"""
218,"""Mantequilla, Yogur, Queso, Platanos, Refresco, Pasta, Salsa de Tomate"""
219,"""Queso"""
220,"""Detergente, Manzanas"""
221,"""Pasta, Platanos, Salsa de Tomate"""
222,"""Azucar, Huevos, Mantequilla, Detergente, Papas fritas, Refresco, Cafe"""
223,"""Panales, Yogur"""
224,"""Papel Higienico, Mantequilla, Queso, Leche, Pasta"""
225,"""Papel Higienico, Mantequilla, Detergente, Platanos, Leche"""
226,"""Platanos, Papas fritas, Cerveza, Leche, Chocolate, Salsa de Tomate, Pan"""
227,"""Papel Higienico, Mantequilla, Queso"""
228,"""Manzanas"""
229,"""Azucar, Huevos, Yogur, Detergente, Leche, Cafe"""
230,"""Manzanas, Papas fritas"""
231,"""Papel Higienico, Platanos, Chocolate, Pasta, Salsa de Tomate, Pan"""
232,"""Panales, Papel Higienico, Cebolla, Detergente, Platanos, Cerveza, Leche, Chocolate, Salsa de Tomate"""
233,"""Mantequilla"""
234,"""Mantequilla, Yogur, Queso, Platanos, Refresco, Pan"""
235,"""Azucar, Papas fritas, Cerveza, Chocolate, Pasta, Salsa de Tomate"""
236,"""Cebolla"""
237,"""Manzanas, Huevos, Papel Higienico, Yogur, Chocolate"""
238,"""Azucar, Papas fritas, Cebolla, Leche"""
239,"""Refresco, Queso, Cafe, Azucar"""
240,"""Mantequilla, Salsa de Tomate, Cebolla, Chocolate"""
241,"""Azucar, Manzanas, Yogur, Cerveza, Leche, Salsa de Tomate, Cafe, Pan"""
242,"""Papel Higienico, Mantequilla, Detergente, Papas fritas, Salsa de Tomate, Pan"""
243,"""Azucar, Queso, Cafe"""
244,"""Azucar, Huevos, Mantequilla, Cafe"""
245,"""Papas fritas, Cerveza"""
246,"""Manzanas"""
247,"""Azucar, Papel Higienico, Yogur, Cebolla, Papas fritas, Cerveza, Leche, Cafe"""
248,"""Yogur"""
249,"""Azucar, Panales, Papel Higienico, Platanos, Papas fritas, Cerveza, Pasta, Salsa de Tomate, Cafe"""
250,"""Detergente, Cafe, Azucar"""
251,"""Panales, Mantequilla, Leche, Chocolate, Pasta, Salsa de Tomate"""
252,"""Azucar, Huevos, Panales, Cebolla, Detergente, Platanos, Leche"""
253,"""Huevos, Yogur, Cebolla, Queso, Papas fritas, Cerveza, Leche, Chocolate, Refresco"""
254,"""Papel Higienico, Leche, Yogur"""
255,"""Azucar, Yogur, Cebolla, Papas fritas, Chocolate, Cafe"""
256,"""Papel Higienico, Mantequilla, Platanos, Leche, Chocolate, Pasta, Salsa de Tomate, Pan"""
257,"""Manzanas, Cerveza, Leche, Chocolate, Refresco, Cafe, Pan"""
258,"""Azucar, Yogur, Queso, Platanos, Papas fritas, Pasta, Salsa de Tomate, Cafe"""
259,"""Manzanas, Azucar, Papel Higienico, Cebolla, Platanos, Cerveza, Leche, Salsa de Tomate, Cafe"""
260,"""Refresco, Papas fritas"""
261,"""Papas fritas, Papel Higienico, Detergente"""
262,"""Salsa de Tomate"""
263,"""Azucar, Queso, Cafe, Yogur"""
264,"""Manzanas, Panales, Salsa de Tomate, Detergente"""
265,"""Pasta, Salsa de Tomate, Cebolla, Leche"""
266,"""Detergente, Panales, Queso"""
267,"""Yogur, Platanos, Chocolate, Refresco, Pasta, Salsa de Tomate"""
268,"""Azucar, Panales, Detergente, Papas fritas, Cerveza, Leche, Pasta, Salsa de Tomate"""
269,"""Cerveza"""
270,"""Huevos, Pasta, Salsa de Tomate"""
271,"""Azucar, Huevos, Papel Higienico, Mantequilla, Yogur, Cebolla, Chocolate, Salsa de Tomate"""
272,"""Papas fritas, Cerveza, Chocolate"""
273,"""Manzanas, Salsa de Tomate, Azucar"""
274,"""Mantequilla, Cebolla, Cerveza, Salsa de Tomate, Pan"""
275,"""Manzanas, Queso"""
276,"""Azucar, Panales, Papas fritas, Cerveza, Leche, Salsa de Tomate"""
277,"""Azucar, Queso, Cerveza, Papas fritas"""
278,"""Panales"""
279,"""Azucar, Huevos, Panales, Mantequilla, Detergente, Papas fritas, Cerveza, Cafe"""
280,"""Huevos, Queso, Platanos, Cerveza, Leche, Refresco, Pasta, Salsa de Tomate"""
281,"""Manzanas"""
282,"""Queso, Yogur, Platanos, Leche, Chocolate, Pasta, Salsa de Tomate"""
283,"""Azucar, Huevos, Panales, Yogur, Platanos, Pasta, Salsa de Tomate, Cafe"""
284,"""Manzanas, Azucar, Papel Higienico, Mantequilla, Queso, Cafe"""
285,"""Azucar, Papel Higienico, Queso, Papas fritas, Salsa de Tomate, Cafe"""
286,"""Azucar, Manzanas, Papel Higienico, Platanos, Papas fritas, Chocolate, Pan"""
287,"""Manzanas, Panales, Mantequilla, Queso, Yogur, Cebolla, Detergente, Papas fritas"""
288,"""Manzanas, Azucar, Panales, Detergente, Papas fritas, Cerveza, Cafe"""
289,"""Leche, Chocolate"""
290,"""Detergente, Papel Higienico"""
291,"""Azucar, Huevos, Yogur, Detergente, Chocolate, Refresco, Cafe"""
292,"""Pasta, Papel Higienico, Cebolla, Leche"""
293,"""Manzanas, Panales, Mantequilla, Yogur, Cebolla, Platanos, Papas fritas, Cerveza, Pan"""
294,"""Azucar, Papel Higienico, Mantequilla, Queso, Chocolate, Refresco, Pasta, Salsa de Tomate, Cafe, Pan"""
295,"""Azucar, Papel Higienico, Queso, Yogur, Detergente"""
296,"""Azucar, Papel Higienico, Cebolla, Detergente, Leche, Chocolate, Pasta, Salsa de Tomate, Cafe"""
297,"""Azucar, Mantequilla, Cafe"""
298,"""Azucar, Mantequilla, Detergente, Platanos, Leche, Salsa de Tomate, Pan"""
299,"""Manzanas, Papel Higienico, Queso, Pasta, Salsa de Tomate"""
300,"""Yogur, Cerveza, Queso"""
301,"""Azucar, Panales, Papel Higienico, Cerveza, Chocolate, Refresco, Salsa de Tomate, Pan"""
302,"""Mantequilla, Pan"""
303,"""Azucar, Papel Higienico, Yogur, Cebolla, Pasta, Salsa de Tomate, Cafe"""
304,"""Azucar, Huevos, Manzanas, Detergente"""
305,"""Huevos, Panales, Mantequilla, Queso, Cebolla, Yogur, Detergente, Cerveza, Pasta"""
306,"""Manzanas, Mantequilla, Cebolla, Papas fritas, Cerveza, Pasta, Salsa de Tomate"""
307,"""Manzanas, Huevos, Panales, Queso, Leche, Cafe"""
308,"""Manzanas, Huevos, Azucar, Papel Higienico, Detergente"""
309,"""Azucar, Papel Higienico, Mantequilla, Queso, Platanos, Leche, Chocolate, Pasta, Salsa de Tomate"""
310,"""Panales, Papel Higienico, Mantequilla, Platanos, Refresco"""
311,"""Manzanas, Papas fritas, Cerveza, Leche, Chocolate"""
312,"""Azucar, Papas fritas, Refresco"""
313,"""Papel Higienico, Pan"""
314,"""Huevos, Platanos, Cerveza"""
315,"""Azucar, Huevos, Panales, Cebolla, Papas fritas, Cerveza, Cafe"""
316,"""Mantequilla, Salsa de Tomate, Pasta"""
317,"""Papel Higienico, Mantequilla, Yogur, Cebolla, Detergente, Papas fritas, Cerveza, Leche, Chocolate, Pasta, Salsa de Tomate"""
318,"""Azucar, Panales, Mantequilla, Queso, Papas fritas, Cerveza, Refresco, Cafe"""
319,"""Huevos, Panales, Mantequilla, Detergente, Papas fritas, Cerveza, Chocolate, Salsa de Tomate"""
320,"""Panales, Papel Higienico, Mantequilla, Yogur, Cebolla, Papas fritas, Cerveza, Chocolate, Pan"""
321,"""Papel Higienico, Cebolla, Platanos, Pasta, Salsa de Tomate"""
322,"""Azucar, Panales, Queso, Papas fritas, Cerveza, Salsa de Tomate, Cafe"""
323,"""Manzanas, Papel Higienico, Queso, Yogur, Pasta, Salsa de Tomate"""
324,"""Manzanas, Yogur, Platanos, Chocolate, Refresco, Pan"""
325,"""Azucar, Papel Higienico, Platanos, Refresco, Salsa de Tomate"""
326,"""Papel Higienico, Yogur, Platanos, Leche, Pasta, Salsa de Tomate"""
327,"""Manzanas, Mantequilla, Queso, Detergente, Platanos, Pasta, Salsa de Tomate"""
328,"""Detergente"""
329,"""Azucar, Papel Higienico, Queso, Yogur, Platanos"""
330,"""Pasta, Cebolla, Pan"""
